                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.93902,                 2.0448,                0.47611,                0.63079,                 1.1804,                0.97422,                 0.9946,                0.99449,                0.79314,                0.95127,                0.51404,                0.60431,                 0.5309,                0.83516,                 1.7927,                0.16612,                0.60255,                 1.3089,              0.0019149,              0.0019149,              0.0019149
                     45,                0.94754,                 1.9261,                0.45124,                 0.6613,                 1.2034,                0.96076,                0.97368,                0.97967,                0.75704,                0.63106,                0.42105,                0.36964,                 0.2982,                 0.8652,                 2.8977,                0.19605,                0.77032,                 1.2911,              0.0019129,              0.0019129,              0.0019129
                     46,                0.94542,                 1.8837,                0.47315,                0.63719,                 1.1963,                0.96706,                      1,                  0.995,                  0.758,                 0.5606,                0.57895,                0.41266,                0.31561,                0.74064,                 1.9069,                0.16649,                0.58374,                  1.214,              0.0019109,              0.0019109,              0.0019109
                     47,                0.88842,                 2.1002,                0.43536,                0.60631,                 1.1447,                0.97377,                      1,                0.99449,                0.73877,                0.46887,                0.47368,                0.23832,                0.20823,                0.78004,                 2.2225,                 0.1595,                0.56766,                 1.2305,              0.0019089,              0.0019089,              0.0019089
                     48,                0.89697,                 1.9346,                0.43781,                0.60045,                 1.1371,                      1,                0.99838,                  0.995,                0.82352,                0.57373,                0.57895,                0.49611,                0.44828,                0.71658,                 1.8527,                 0.1372,                0.58575,                 1.1819,              0.0019069,              0.0019069,              0.0019069
                     49,                0.88564,                 2.0946,                0.45107,                0.62345,                 1.1473,                0.99842,                      1,                  0.995,                0.76562,                0.57644,                0.57895,                0.37926,                0.33244,                0.74322,                 1.8302,                0.11483,                0.46213,                 1.1547,               0.001905,               0.001905,               0.001905
                     50,                0.88547,                 1.7003,                 0.4549,                0.59802,                 1.1554,                0.99376,                      1,                  0.995,                 0.8112,                0.62686,                0.63158,                0.50574,                 0.4203,                0.81384,                 1.7755,                0.12969,                0.75961,                 1.2228,               0.001903,               0.001903,               0.001903
                     51,                0.90591,                 1.7587,                0.45168,                0.59311,                 1.1665,                0.99492,                      1,                  0.995,                0.82017,                0.83337,                0.52632,                0.56701,                0.46387,                0.75636,                   2.06,                0.12825,                0.64291,                 1.1594,               0.001901,               0.001901,               0.001901
                     52,                0.90159,                 1.8961,                0.46149,                0.58958,                 1.1675,                0.99622,                      1,                  0.995,                0.77004,                0.60293,                0.60526,                0.54593,                0.44065,                0.85725,                 2.1737,                0.18197,                0.64126,                 1.2403,               0.001899,               0.001899,               0.001899
                     53,                0.91971,                 2.0163,                0.45683,                0.61243,                  1.138,                0.97096,                      1,                0.99449,                0.79441,                0.61315,                0.63158,                0.52157,                0.39444,                 0.8597,                 2.0903,                0.29258,                0.56838,                 1.2199,               0.001897,               0.001897,               0.001897
                     54,                0.93897,                 2.1744,                0.45561,                0.62768,                 1.1746,                0.99354,                      1,                  0.995,                0.81158,                0.62413,                0.63158,                0.58698,                 0.5352,                0.80571,                 1.7155,                0.22285,                 0.5884,                 1.2103,              0.0018951,              0.0018951,              0.0018951
                     55,                0.88098,                 1.9364,                0.41458,                0.56539,                 1.1383,                0.98571,                      1,                  0.995,                0.72557,                0.80798,                0.57895,                0.67734,                0.57086,                0.95783,                 1.6032,                0.12317,                0.55734,                 1.3317,              0.0018931,              0.0018931,              0.0018931
                     56,                0.89633,                 1.6706,                0.46758,                0.58139,                 1.1693,                0.99235,                      1,                  0.995,                0.69306,                0.92054,                0.57895,                0.66135,                0.61231,                 0.8557,                 2.2024,                0.15693,                0.77491,                  1.354,              0.0018911,              0.0018911,              0.0018911
                     57,                  0.931,                  1.596,                0.41964,                0.59924,                 1.1506,                0.88146,                0.92105,                0.96459,                0.73605,                0.99833,                0.65789,                0.66379,                0.60843,                0.83863,                 2.3652,                 0.1286,                0.71045,                 1.4171,              0.0018891,              0.0018891,              0.0018891
                     58,                0.88528,                 1.6034,                0.44404,                0.61183,                 1.1465,                      1,                0.93478,                0.99227,                0.79495,                 0.9909,                0.65789,                0.66006,                0.59034,                 0.8213,                 2.0908,                0.14415,                0.64179,                 1.2371,              0.0018871,              0.0018871,              0.0018871
                     59,                0.89552,                 1.6449,                0.45205,                0.60981,                 1.1333,                0.94793,                0.95835,                0.98011,                0.75986,                0.91736,                0.57895,                0.59842,                0.55666,                0.79337,                 2.1697,                0.17258,                0.55513,                 1.2481,              0.0018852,              0.0018852,              0.0018852
                     60,                0.87895,                 1.5641,                0.43284,                0.60028,                 1.1296,                0.99222,                      1,                  0.995,                0.80429,                0.52579,                0.52632,                0.47252,                0.40888,                0.75535,                 2.4345,                 0.1773,                0.48352,                 1.1377,              0.0018832,              0.0018832,              0.0018832
                     61,                0.87104,                 1.5361,                 0.4025,                0.57895,                 1.1393,                0.98563,                      1,                  0.995,                0.81827,                0.79903,                0.63158,                0.62112,                0.56201,                0.70891,                 2.0573,                 0.1341,                0.65651,                 1.1176,              0.0018812,              0.0018812,              0.0018812
                     62,                0.89803,                 1.7197,                0.40753,                 0.6077,                 1.1532,                0.94944,                0.98855,                  0.994,                0.79707,                 0.5926,                0.63158,                0.55071,                 0.4482,                0.71132,                 1.7402,                0.12394,                0.61646,                 1.1335,              0.0018792,              0.0018792,              0.0018792
                     63,                 0.8882,                 1.5742,                0.41984,                 0.5971,                 1.1516,                0.97712,                0.97368,                0.99449,                0.80161,                0.54448,                0.57895,                0.43604,                0.34791,                0.67824,                 2.0015,                0.13684,                 0.6014,                 1.1571,              0.0018772,              0.0018772,              0.0018772
                     64,                0.94822,                 1.8833,                0.44387,                0.62665,                 1.1914,                0.99563,                      1,                  0.995,                0.81396,                0.60237,                0.60526,                0.38572,                0.31555,                0.70115,                 1.7413,                0.14084,                0.61153,                 1.1158,              0.0018753,              0.0018753,              0.0018753
                     65,                 0.8778,                 1.5221,                0.44891,                0.58788,                 1.1555,                0.98809,                      1,                  0.995,                0.79793,                0.57469,                0.57895,                0.47603,                0.38002,                0.73925,                 2.1603,                0.15472,                0.67289,                 1.1492,              0.0018733,              0.0018733,              0.0018733
                     66,                0.87487,                 1.5052,                0.44102,                0.57551,                  1.137,                      1,                0.98646,                  0.995,                0.80565,                0.49339,                0.48712,                0.42838,                 0.3536,                0.69206,                 2.9733,                0.17818,                0.93077,                 1.1196,              0.0018713,              0.0018713,              0.0018713
                     67,                 0.8927,                 1.2682,                0.44921,                0.57178,                 1.1503,                0.99379,                      1,                  0.995,                0.82632,                0.96377,                0.47368,                0.54378,                0.51165,                0.65346,                 1.9977,                0.17536,                0.84488,                  1.098,              0.0018693,              0.0018693,              0.0018693
                     68,                0.86225,                 1.1266,                0.42393,                  0.592,                 1.1444,                0.94683,                      1,                  0.995,                0.81223,                0.91991,                0.60452,                0.70446,                 0.5725,                0.68205,                 1.6117,                0.12493,                 0.6201,                 1.1389,              0.0018673,              0.0018673,              0.0018673
                     69,                0.85559,                 1.1632,                0.40865,                0.56925,                 1.1499,                0.99425,                      1,                  0.995,                0.80319,                0.98793,                0.65789,                0.68215,                 0.5767,                0.72775,                 1.6129,                0.14708,                0.59825,                 1.1474,              0.0018654,              0.0018654,              0.0018654
                     70,                0.85472,                 1.3915,                0.39981,                0.56082,                 1.1248,                0.84104,                      1,                0.95565,                0.77604,                0.64959,                0.44737,                0.36344,                0.32297,                0.68039,                 2.5876,                0.19553,                0.57995,                 1.1425,              0.0018634,              0.0018634,              0.0018634
                     71,                0.87353,                 1.1633,                0.42984,                0.54845,                 1.1466,                0.96554,                      1,                0.98833,                 0.7907,                0.77392,                0.81579,                0.65677,                0.40711,                 0.7051,                 1.9442,                0.10849,                0.54235,                 1.1325,              0.0018614,              0.0018614,              0.0018614
                     72,                0.87337,                 1.3346,                0.45057,                0.58418,                 1.1528,                0.94143,                      1,                   0.99,                0.77692,                0.89384,                0.88648,                0.87588,                0.63629,                0.72822,                 1.1685,                0.12325,                0.49747,                 1.1291,              0.0018594,              0.0018594,              0.0018594
                     73,                0.88995,                 1.3845,                0.39847,                0.59763,                  1.165,                0.96267,                0.97368,                0.99143,                0.80172,                0.74171,                0.75582,                0.66873,                0.54568,                0.71345,                 1.6741,                0.14255,                0.48511,                 1.1307,              0.0018574,              0.0018574,              0.0018574
                     74,                0.89867,                 1.5072,                0.42151,                0.56718,                 1.1337,                0.97348,                      1,                0.98372,                0.76002,                0.69988,                0.57895,                0.63318,                0.55414,                0.72654,                 1.7285,                 0.1503,                0.54985,                 1.1573,              0.0018555,              0.0018555,              0.0018555
                     75,                0.92434,                 1.0172,                0.38876,                0.60699,                 1.1601,                0.96442,                0.97368,                0.99064,                0.80149,                0.99875,                      1,                  0.995,                 0.8437,                 0.6998,                0.46072,                0.10748,                0.71168,                 1.1014,              0.0018535,              0.0018535,              0.0018535
                     76,                0.87049,                  1.196,                0.39543,                0.59358,                 1.1084,                0.99459,                      1,                  0.995,                0.79507,                0.88911,                0.89474,                 0.8846,                0.69995,                0.70443,                 1.1553,                0.16238,                0.56033,                 1.0846,              0.0018515,              0.0018515,              0.0018515
                     77,                0.84584,                 1.1331,                0.40881,                0.55921,                 1.1209,                0.97315,                      1,                0.99449,                0.82965,                0.99472,                0.97368,                0.97561,                0.92818,                0.66032,                0.35123,                0.10698,                0.54971,                 1.1058,              0.0018495,              0.0018495,              0.0018495
                     78,                0.83282,                  1.036,                0.41153,                 0.5649,                 1.1176,                      1,                0.97032,                  0.994,                0.78019,                0.97142,                      1,                0.99449,                0.73534,                0.80418,                0.98181,                0.07986,                0.63269,                 1.2925,              0.0018475,              0.0018475,              0.0018475
                     79,                0.85235,                 1.1045,                0.40798,                0.57065,                 1.1379,                0.96761,                      1,                0.99449,                0.79707,                      1,                0.99209,                  0.995,                0.84714,                0.72543,                0.38493,                0.10477,                0.49447,                  1.131,              0.0018456,              0.0018456,              0.0018456
                     80,                0.84301,                 1.0392,                0.40689,                0.53747,                 1.1141,                0.97299,                      1,                  0.995,                 0.7742,                0.97299,                      1,                  0.995,                0.55566,                0.78906,                  1.177,                0.12214,                0.61828,                 1.2207,              0.0018436,              0.0018436,              0.0018436
                     81,                0.85588,                0.82997,                0.42766,                0.57998,                 1.1857,                0.97243,                      1,                  0.995,                0.73587,                0.97243,                      1,                  0.995,                0.51051,                0.89047,                 1.1906,                0.14227,                0.81884,                 1.3243,              0.0018416,              0.0018416,              0.0018416
                     82,                0.83876,                  1.156,                0.40818,                 0.5574,                 1.1145,                0.99114,                      1,                  0.995,                 0.7668,                0.97109,                0.97368,                0.97547,                0.79971,                0.79364,                 0.5784,                0.12036,                 0.8234,                 1.1699,              0.0018396,              0.0018396,              0.0018396
                     83,                0.89949,                 1.0536,                0.40048,                0.58463,                 1.1579,                 0.9958,                0.94737,                0.99042,                0.80621,                 0.9958,                0.94737,                0.99042,                0.93582,                0.76117,                0.33192,                  0.124,                0.53501,                 1.1128,              0.0018376,              0.0018376,              0.0018376
                     84,                0.91202,                 1.0855,                0.38423,                0.59342,                 1.1548,                0.92348,                      1,                0.99029,                0.72629,                0.97356,                0.96896,                0.99268,                0.85142,                0.74904,                0.29968,                0.11986,                0.54823,                 1.1705,              0.0018357,              0.0018357,              0.0018357
                     85,                0.81889,                 1.0048,                0.40898,                0.57591,                 1.1049,                0.94744,                      1,                0.99244,                0.75612,                0.92207,                0.97368,                0.97027,                0.80652,                0.71967,                0.56952,                0.13928,                0.47199,                 1.1532,              0.0018337,              0.0018337,              0.0018337
